worker_id,assignment_id,abs_scu_id,abs_sent_id_1,text_1_html,text_2_html,text_1,prev_text_sent_id_1,prev_text_1,abs_sent_id_2,text_2,prev_text_sent_id_2,prev_text_2,year,topic,source,source-doc_1,source-doc_2,source-data,key,group_pair,alignments,worker_id_1,worker_id_2,aligned_qas,dissagreements_a,disagreements_b,added_aligns,avg_num_aligns_added
GRP1_A,33TIN5LC04BIOCNCCKPEKBI3T70Y9E,TAC2011~!~D1144-B-CDGH~!~8~!~SCU,TAC2011~!~D1144-B-CDGH~!~32,"The Lee Der firm subsequently <strong>claimed</strong> it had been <strong>sold</strong> fake lead - free paint , and the head of the company <strong>committed</strong> suicide .",His best friend <strong>supplied</strong> his factory with the lead - <strong>tainted</strong> paint that <strong>prompted</strong> the recalls .,"The Lee Der firm subsequently claimed it had been sold fake lead-free paint, and the head of the company committed suicide.",TAC2011~!~D1144-B-CDGH~!~31,The Chinese Government reacted by suspending exports by companies linked to the recall.,TAC2011~!~D1144-B-CDGH~!~13,His best friend supplied his factory with the lead-tainted paint that prompted the recalls.,TAC2011~!~D1144-B-CDGH~!~12,"The head of Lee Der Industrial Co., Mattel's manufacturer, committed suicide.  ",TAC2011,D1144-B-CDGH,sum-sum,reference_summary_sentence,reference_summary_sentence,summ-dev,TAC2011~!~D1144-B-CDGH~!~13~!~TAC2011~!~D1144-B-CDGH~!~32,A1FS8SBR4SDWYG|AZLZA0Q87TJZO,"[{'sent1': [['TAC2011~!~D1144-B-CDGH~!~32~!~9~!~sold~!~2655', 'What was sold to someone? - fake lead - free paint', 'sold']], 'sent2': [['TAC2011~!~D1144-B-CDGH~!~13~!~3~!~supplied~!~6208', 'What did someone supply something with? - lead - tainted paint', 'supplied']]}, {'sent1': [['TAC2011~!~D1144-B-CDGH~!~32~!~9~!~sold~!~2654', 'Who was something sold to? - The Lee Der firm', 'sold']], 'sent2': [['TAC2011~!~D1144-B-CDGH~!~13~!~3~!~supplied~!~6207', 'What did someone supply with something? - his factory', 'supplied']]}]",,,,,,,
GRP1_A,3LRLIPTPEQA19Q800B2N7YEC1A9KAK,DUC2005~!~119.D683.M.250.J.7~!~145~!~SCU,DUC2005~!~119.D683.M.250.J.7~!~12,Slovakia 's heavy industries were uneconomically <strong>geared</strong> to the Soviet market and it has yet to <strong>recover</strong> .,"Slovakia still <strong>had</strong> stronge ties to the East , it 's factories <strong>producing</strong> heavy goods <strong>geared</strong> to Soviet markets .",Slovakia's heavy industries were uneconomically geared to the Soviet market and it has yet to recover.,DUC2005~!~119.D683.M.250.J.7~!~11,Political infighting threatens the government and there is growing disillusionment with their confrontational prime minister.,DUC2005~!~119.D683.M.250.J.7~!~19,"Slovakia still had stronge ties to the East, it's factories producing heavy goods geared to Soviet markets.",DUC2005~!~119.D683.M.250.J.7~!~18,"The Czechs, representing 2/3s of the country's population, were highly industrialized and Western looking with strong ties to Germany.",DUC2005,119.D683.M.250.J.7,sum-sum,reference_summary_sentence,reference_summary_sentence,summ-test,DUC2005~!~119.D683.M.250.J.7~!~12~!~DUC2005~!~119.D683.M.250.J.7~!~19,A1FS8SBR4SDWYG|AZLZA0Q87TJZO,"[{'sent1': [['DUC2005~!~119.D683.M.250.J.7~!~12~!~6~!~geared~!~7652', 'What was something geared to? - the Soviet market', 'geared']], 'sent2': [['DUC2005~!~119.D683.M.250.J.7~!~19~!~15~!~geared~!~3599', 'What is something geared to? - Soviet markets', 'geared']]}, {'sent1': [['DUC2005~!~119.D683.M.250.J.7~!~12~!~6~!~geared~!~7651', ""What was geared to something? - Slovakia 's heavy industries"", 'geared']], 'sent2': [['DUC2005~!~119.D683.M.250.J.7~!~19~!~15~!~geared~!~3600', 'What is geared to something? - heavy goods', 'geared']]}]",,,,,,,
GRP1_A,3OXV7EAXLERUQQOQPSTCA7VOUE863Y,,36_11ecbplus~!~4~!~319,Jeffs is <strong>charged</strong> with two counts of sexual assault for <strong>raping</strong> two under - aged girls and <strong>fathering</strong> a child with one of the girls .,"The 55 - year older leader of the Fundamentalist Church of Jesus Christ of Latter Day Saints was <strong>charged</strong> with sexual assault of a child after <strong>taking</strong> a 12 - year old girl and a 15 - year girl as ""spiritual wives . """,Jeffs is charged with two counts of sexual assault for raping two under - aged girls and fathering a child with one of the girls .,,"Warren Jeffs , leader of the Fundamentalist Church of Jesus Christ of Latter Day Saints , who has been silent since his trial began last Thursday , spoke for the first time with the jury present Friday .",36_1ecbplus~!~4~!~345,"The 55 - year older leader of the Fundamentalist Church of Jesus Christ of Latter Day Saints was charged with sexual assault of a child after taking a 12 - year old girl and a 15 - year girl as ""spiritual wives . """,,A San Antonio jury has found polygamist leader Warren Jeffs guilty on both sexual assault charges on Thursday .,,36p,doc-doc,,,test,36_11ecbplus~!~4~!~319~!~36_1ecbplus~!~4~!~345,A1FS8SBR4SDWYG|AZLZA0Q87TJZO,"[{'sent1': [['36_11ecbplus~!~4~!~319~!~2~!~charged~!~11011', 'Who is charged with something? - Jeffs', 'charged']], 'sent2': [['36_1ecbplus~!~4~!~345~!~18~!~charged~!~8070', 'Who was charged with something? - The 55 - year older leader of the Fundamentalist Church of Jesus Christ of Latter Day Saints', 'charged']]}, {'sent1': [['36_11ecbplus~!~4~!~319~!~2~!~charged~!~11012', 'What is someone charged with? - two counts of sexual assault', 'charged']], 'sent2': [['36_1ecbplus~!~4~!~345~!~18~!~charged~!~8071', 'What was someone charged with? - sexual assault of a child', 'charged']]}]",,,,,,,
GRP1_A,3DZQRBDBSLGZDOMNW5WFBCRGCUTS3C,,23_11ecbplus~!~1~!~63,Mr Buckley's death <strong>came</strong> a day after 36 - year - old Duncan Raite <strong>died</strong> when he <strong>slipped</strong> and <strong>fell</strong> around 200ft from a ridge in the same national park .,Mr Buckley's death <strong>came</strong> a day after 36 - year - old Duncan Rait was <strong>killed</strong> after <strong>slipping</strong> and <strong>falling</strong> 200ft from a ridge in the same national park .,Mr Buckley's death came a day after 36 - year - old Duncan Raite died when he slipped and fell around 200ft from a ridge in the same national park .,,"""It appears as if the party were insufficiently equipped and inexperienced for the climb they had undertaken . """,23_5ecbplus~!~1~!~14,Mr Buckley's death came a day after 36 - year - old Duncan Rait was killed after slipping and falling 200ft from a ridge in the same national park .,,They were were released after a medical examination .,,23p,doc-doc,,,dev,23_11ecbplus~!~1~!~63~!~23_5ecbplus~!~1~!~14,A1FS8SBR4SDWYG|AZLZA0Q87TJZO,"[{'sent1': [['23_11ecbplus~!~1~!~63~!~3~!~came~!~10909', ""What came? - Mr Buckley's death"", 'came']], 'sent2': [['23_5ecbplus~!~1~!~14~!~3~!~came~!~11830', ""What came? - Mr Buckley's death"", 'came']]}, {'sent1': [['23_11ecbplus~!~1~!~63~!~3~!~came~!~10910', 'When did something come? - a day after 36 - year - old Duncan Raite died', 'came']], 'sent2': [['23_5ecbplus~!~1~!~14~!~3~!~came~!~11831', 'When did something come? - a day after 36 - year - old Duncan Rait was killed', 'came']]}, {'sent1': [['23_11ecbplus~!~1~!~63~!~14~!~died~!~10602', 'Who died? - 36 - year - old Duncan Raite', 'died']], 'sent2': [['23_5ecbplus~!~1~!~14~!~15~!~killed~!~9670', 'Who was killed? - 36 - year - old Duncan Rait', 'killed']]}, {'sent1': [['23_11ecbplus~!~1~!~63~!~14~!~died~!~10604', 'Where did someone die? - in the same national park', 'died']], 'sent2': [['23_5ecbplus~!~1~!~14~!~15~!~killed~!~9672', 'Where was someone killed? - in the same national park', 'killed']]}, {'sent1': [['23_11ecbplus~!~1~!~63~!~19~!~fell~!~9546', 'Who fell? - 36 - year - old Duncan Raite', 'fell']], 'sent2': [['23_5ecbplus~!~1~!~14~!~19~!~falling~!~9635', 'who fell? - 36 - year - old Duncan Rait', 'falling']]}, {'sent1': [['23_11ecbplus~!~1~!~63~!~19~!~fell~!~9548', 'Where did someone fall from? - a ridge', 'fell']], 'sent2': [['23_5ecbplus~!~1~!~14~!~19~!~falling~!~9636', 'where did someone fall from? - a ridge', 'falling']]}, {'sent1': [['23_11ecbplus~!~1~!~63~!~17~!~slipped~!~11398', 'What did someone slip from? - a ridge', 'slipped']], 'sent2': [['23_5ecbplus~!~1~!~14~!~17~!~slipping~!~9880', 'What did someone slip from? - a ridge', 'slipping']]}, {'sent1': [['23_11ecbplus~!~1~!~63~!~17~!~slipped~!~11397', 'Where did someone slip? - the same national park', 'slipped']], 'sent2': [['23_5ecbplus~!~1~!~14~!~17~!~slipping~!~9881', 'Where did someone slip from something? - in the same national park', 'slipping']]}, {'sent1': [['23_11ecbplus~!~1~!~63~!~17~!~slipped~!~11396', 'Who slipped? - Duncan Raite', 'slipped']], 'sent2': [['23_5ecbplus~!~1~!~14~!~17~!~slipping~!~9879', 'Who slipped from something? - 36 - year - old Duncan Rait', 'slipping']]}]",,,,,,,
GRP1_A,3LS2AMNW5FRCMX0WNZR24FAQPX1OQB,DUC2007~!~D0706-BDEI~!~48~!~SCU,DUC2007~!~D0706-BDEI~!~59,He was <strong>imprisoned</strong> twice and <strong>placed</strong> under house arrest .,"NLD Vice Chairman Tin Oo , 71 , who has been <strong>imprisoned</strong> twice by Myanmar 's military leaders , is a former defense minister , army commander in chief , Buddhist monk and lawyer .",He was imprisoned twice and placed under house arrest.,DUC2007~!~D0706-BDEI~!~58,"Tin Oo, NLD vice-chairman, fought alongside Aung San and became a respected army officer.",DUC2007~!~D0706~!~APW19980913.0295~!~94,"NLD Vice Chairman Tin Oo, 71, who has been imprisoned twice by Myanmar's military leaders, is a former defense minister, army commander in chief, Buddhist monk and lawyer.",DUC2007~!~D0706~!~APW19980913.0295~!~93,The report from the All Burma Students Democratic Front could not be independently confirmed and the military government spokesman was not available for comment.,DUC2007,D0706,doc-summ,reference_summary_sentence,source_document,docsumm-dev,DUC2007~!~D0706-BDEI~!~59~!~DUC2007~!~D0706~!~APW19980913.0295~!~94,A1FS8SBR4SDWYG|AZLZA0Q87TJZO,"[{'sent1': [['DUC2007~!~D0706-BDEI~!~59~!~2~!~imprisoned~!~2168', 'Who was imprisoned? - He', 'imprisoned']], 'sent2': [['DUC2007~!~D0706~!~APW19980913.0295~!~94~!~11~!~imprisoned~!~13817', 'Who has been imprisoned? - Tin Oo', 'imprisoned']]}, {'sent1': [['DUC2007~!~D0706-BDEI~!~59~!~2~!~imprisoned~!~2169', 'How much was someone imprisoned? - twice', 'imprisoned']], 'sent2': [['DUC2007~!~D0706~!~APW19980913.0295~!~94~!~11~!~imprisoned~!~2923', 'How much has someone been imprisoned? - twice', 'imprisoned']]}]",,,,,,,
GRP1_A,3DBQWDE4Y6Z5BQHM2S3MRFFU3R95N0,,val1230~!~val1230.txt~!~19812,Moynihan is currently in a medically <strong>induced</strong> coma and <strong>listed</strong> as in critical condition .,"On Sunday , after several hours of surgery to <strong>remove</strong> the bullet from his neck , Moynihan , who had been <strong>listed</strong> in critical condition , was in stable and <strong>improving</strong> condition , <strong>according</strong> to a Twitter <strong>posting</strong> by the Boston Police Department .",Moynihan is currently in a medically induced coma and listed as in critical condition.,,"Suspect Angelo West, 41, was killed after police returned fire.",val1230~!~0.txt~!~19813,"On Sunday, after several hours of surgery to remove the bullet from his neck, Moynihan, who had been listed in critical condition, was in stable and improving condition, according to a Twitter posting by the Boston Police Department.",,------------------,,val1230,sum-doc,,,silver-dev,val1230~!~0.txt~!~19813~!~val1230~!~val1230.txt~!~19812,A1FS8SBR4SDWYG|AZLZA0Q87TJZO,"[{'sent1': [['val1230~!~val1230.txt~!~19812~!~9~!~listed~!~10991', 'Who is listed as something? - Moynihan', 'listed']], 'sent2': [['val1230~!~0.txt~!~19813~!~21~!~listed~!~10697', 'Who had been listed as something? - Moynihan', 'listed']]}, {'sent1': [['val1230~!~val1230.txt~!~19812~!~9~!~listed~!~10992', 'What is someone listed as? - in critical condition', 'listed']], 'sent2': [['val1230~!~0.txt~!~19813~!~21~!~listed~!~10698', 'What had someone been listed as? - in critical condition', 'listed']]}]",,,,,,,
GRP1_A,3CP1TO84PT29M4STG952ZRCWS5Y527,DUC2007~!~D0728-AGHI~!~29~!~SCU,DUC2007~!~D0728-AGHI~!~22,Interferon is <strong>known</strong> to <strong>produce</strong> flu - like side effects .,"Interferon may <strong>produce</strong> flu - like side effects like fever and lethargy , and perhaps depression .",Interferon is known to produce flu-like side effects.,DUC2007~!~D0728-AGHI~!~21,"Interferon has also saved many children with life threatening growths, called hemangiomas by its ability to knock out a tumor's ability to recruit blood vessels from nearby tissues.",DUC2007~!~D0728-AGHI~!~51,"Interferon may produce flu-like side effects like fever and lethargy, and perhaps depression.",DUC2007~!~D0728-AGHI~!~50,"A frequent hepatitis C treatment is by Rebetron, a combination of interferon injections and ribavirin capsules, which eliminates hepatitis C symptoms in twice as many patients as interferon alone.",DUC2007,D0728-AGHI,sum-sum,reference_summary_sentence,reference_summary_sentence,summ-test,DUC2007~!~D0728-AGHI~!~22~!~DUC2007~!~D0728-AGHI~!~51,A1FS8SBR4SDWYG|AZLZA0Q87TJZO,"[{'sent1': [['DUC2007~!~D0728-AGHI~!~22~!~4~!~produce~!~7732', 'What produces something? - Interferon', 'produce']], 'sent2': [['DUC2007~!~D0728-AGHI~!~51~!~2~!~produce~!~1640', 'What might produce something? - Interferon', 'produce']]}, {'sent1': [['DUC2007~!~D0728-AGHI~!~22~!~4~!~produce~!~7733', 'What does something produce? - flu - like side effects', 'produce']], 'sent2': [['DUC2007~!~D0728-AGHI~!~51~!~2~!~produce~!~13257', 'What might something produce? - flu - like side effects', 'produce']]}]",,,,,,,
GRP1_A,3AAJC4I4FGT7ZEAQUIIANC58TRKZJ9,TAC2011~!~D1121-A-BCDG~!~13~!~SCU,TAC2011~!~D1121-A-BCDG~!~12,The allegations <strong>detailed</strong> in an indictment <strong>sparked</strong> protests and awareness campaigns by animal rights groups .,Animal rights groups <strong>protested</strong> .,The allegations detailed in an indictment sparked protests and awareness campaigns by animal rights groups.,TAC2011~!~D1121-A-BCDG~!~11,"The dogs were reported killed in fighting, shot, hanged, or drowned.   ",TAC2011~!~D1121-A-BCDG~!~33,Animal rights groups protested.,TAC2011~!~D1121-A-BCDG~!~32,Sponsors dropped endorsements.,TAC2011,D1121-A-BCDG,sum-sum,reference_summary_sentence,reference_summary_sentence,summ-dev,TAC2011~!~D1121-A-BCDG~!~12~!~TAC2011~!~D1121-A-BCDG~!~33,A1FS8SBR4SDWYG|AZLZA0Q87TJZO,{},,,,,,,
GRP1_A,30X31N5D63RZX9L85KBPYK5MGODASK,DUC2006~!~D0605~!~141~!~SCU,DUC2006~!~D0605e~!~NYT19991130.0087~!~735,Exercise - especially gentle and progressive resistance exercise that <strong>strengthens</strong> leg muscles - is <strong>getting</strong> <strong>increased</strong> attention among arthritis researchers .,A Tufts University study <strong>presented</strong> at the Boston rheumatology meeting <strong>showed</strong> a home exercise regimen <strong>improved</strong> leg strength by 71 percent and <strong>reduced</strong> arthritic knee pain by 36 percent .,Exercise - especially gentle and progressive resistance exercise that strengthens leg muscles - is getting increased attention among arthritis researchers.,DUC2006~!~D0605e~!~NYT19991130.0087~!~734,Framingham data show that a weight loss of 11 pounds in women of medium height reduced the risk of painful knee arthritis by half.,DUC2006~!~D0605e~!~NYT19991130.0087~!~741,A Tufts University study presented at the Boston rheumatology meeting showed a home exercise regimen improved leg strength by 71 percent and reduced arthritic knee pain by 36 percent.,DUC2006~!~D0605e~!~NYT19991130.0087~!~740,"Increased joint stability in turn protects cartilage from the cycle of injury, enzymatic breakdown, and inflammation.",DUC2006,D0605e,doc-doc,source_document,source_document,doc-dev,DUC2006~!~D0605e~!~NYT19991130.0087~!~735~!~DUC2006~!~D0605e~!~NYT19991130.0087~!~741,A1FS8SBR4SDWYG|AZLZA0Q87TJZO,"[{'sent1': [['DUC2006~!~D0605e~!~NYT19991130.0087~!~735~!~9~!~strengthens~!~1480', 'What strengthens something? - progressive resistance exercise', 'strengthens']], 'sent2': [['DUC2006~!~D0605e~!~NYT19991130.0087~!~741~!~15~!~improved~!~3245', 'What improved something? - a home exercise regimen', 'improved']]}, {'sent1': [['DUC2006~!~D0605e~!~NYT19991130.0087~!~735~!~9~!~strengthens~!~1481', 'What does something strengthen? - leg muscles', 'strengthens']], 'sent2': [['DUC2006~!~D0605e~!~NYT19991130.0087~!~741~!~15~!~improved~!~3246', 'What did something improve? - leg strength', 'improved']]}]",,,,,,,
GRP1_A,3J88R45B2GZEGUD9ODZ9NNB9UQOPXY,DUC2005~!~111.D422.M.250.C.10~!~142~!~SCU,DUC2005~!~111.D422.M.250.C.10~!~38,"When photographs and documentation are available , identification of <strong>stolen</strong> artwork can be <strong>confirmed</strong> .","Good photographic and other documentation uniquely <strong>describing</strong> the item and circumstances of its theft , are essential for the success of such registries in <strong>identifying</strong> possible <strong>stolen</strong> items .","When photographs and documentation are available, identification of stolen artwork can be confirmed.",DUC2005~!~111.D422.M.250.C.10~!~37,Documentation is essential to recovering a stolen work of art.,DUC2005~!~111.D422.M.250.C.10~!~69,"Good photographic and other documentation uniquely describing the item and circumstances of its theft, are essential for the success of such registries in identifying possible stolen items.",DUC2005~!~111.D422.M.250.C.10~!~68,Similar art registry laws are expected in Britain.,DUC2005,111.D422.M.250.C.10,sum-sum,reference_summary_sentence,reference_summary_sentence,summ-test,DUC2005~!~111.D422.M.250.C.10~!~38~!~DUC2005~!~111.D422.M.250.C.10~!~69,A1FS8SBR4SDWYG|AZLZA0Q87TJZO,"[{'sent1': [['DUC2005~!~111.D422.M.250.C.10~!~38~!~13~!~confirmed~!~6707', 'What can be confirmed? - identification of stolen artwork', 'confirmed']], 'sent2': [['DUC2005~!~111.D422.M.250.C.10~!~69~!~24~!~identifying~!~3673', 'What can be identified? - possible stolen items', 'identifying']]}, {'sent1': [['DUC2005~!~111.D422.M.250.C.10~!~38~!~13~!~confirmed~!~6708', 'When can something be confirmed? - When photographs and documentation are available', 'confirmed']], 'sent2': [['DUC2005~!~111.D422.M.250.C.10~!~69~!~24~!~identifying~!~14171', 'How might something identify something? - other documentation uniquely describing the item and circumstances of its theft', 'identifying']]}, {'sent1': [['DUC2005~!~111.D422.M.250.C.10~!~38~!~9~!~stolen~!~6310', 'What was stolen? - artwork', 'stolen']], 'sent2': [['DUC2005~!~111.D422.M.250.C.10~!~69~!~26~!~stolen~!~2549', 'what might be stolen? - items', 'stolen']]}]",,,,,,,
