worker_id,assignment_id,abs_scu_id,abs_sent_id_1,text_1_html,text_2_html,text_1,prev_text_sent_id_1,prev_text_1,abs_sent_id_2,text_2,prev_text_sent_id_2,prev_text_2,year,topic,source,source-doc_1,source-doc_2,source-data,key,alignments
ROG,3PZDLQMM0TMULP18VJSADXI6LCI2CR,TAC2008~!~D0842-A-AFGH~!~7~!~SCU,TAC2008~!~D0842-A-AFGH~!~21,Gazprom and Germany 's BASF will <strong>build</strong> it .,"Gazprom , the state - controlled Russian gas group and the German company BASF <strong>plan</strong> a Baltic Sea pipeline to <strong>transport</strong> Russian gas directly to Europe .",Gazprom and Germany's BASF will build it.,TAC2008~!~D0842-A-AFGH~!~20,"It will bypass Poland, Ukraine and Belarus, who fear being cut off from Russian gas.",TAC2008~!~D0842-A-AFGH~!~12,"Gazprom, the state-controlled Russian gas group and the German company BASF plan a Baltic Sea pipeline to transport Russian gas directly to Europe.",TAC2008~!~D0842-A-AFGH~!~1,-----------------,TAC2008,D0842-A-AFGH,sum-sum,reference_summary_sentence,reference_summary_sentence,summ-dev,TAC2008~!~D0842-A-AFGH~!~12~!~TAC2008~!~D0842-A-AFGH~!~21,"[{'sent1': [['TAC2008~!~D0842-A-AFGH~!~21~!~6~!~build~!~7149', 'What will someone build? - it', 'build']], 'sent2': [['TAC2008~!~D0842-A-AFGH~!~12~!~14~!~plan~!~150', 'What is planned? - a Baltic Sea pipeline', 'plan']]}, {'sent1': [['TAC2008~!~D0842-A-AFGH~!~21~!~6~!~build~!~15786', ""Who will build something? - Germany 's BASF"", 'build']], 'sent2': [['TAC2008~!~D0842-A-AFGH~!~12~!~14~!~plan~!~12569', 'Who plans something? - the German company BASF', 'plan']]}, {'sent1': [['TAC2008~!~D0842-A-AFGH~!~21~!~6~!~build~!~15785', 'Who will build something? - Gazprom', 'build']], 'sent2': [['TAC2008~!~D0842-A-AFGH~!~12~!~14~!~plan~!~12571', 'Who plans something? - Gazprom', 'plan']]}]"
WYG,3XLBSAQ9Z4DEFJ9OT9TDKM0Z40E7ZE,TAC2008~!~D0842-A-AFGH~!~7~!~SCU,TAC2008~!~D0842-A-AFGH~!~21,Gazprom and Germany 's BASF will <strong>build</strong> it .,"Gazprom , the state - controlled Russian gas group and the German company BASF <strong>plan</strong> a Baltic Sea pipeline to <strong>transport</strong> Russian gas directly to Europe .",Gazprom and Germany's BASF will build it.,TAC2008~!~D0842-A-AFGH~!~20,"It will bypass Poland, Ukraine and Belarus, who fear being cut off from Russian gas.",TAC2008~!~D0842-A-AFGH~!~12,"Gazprom, the state-controlled Russian gas group and the German company BASF plan a Baltic Sea pipeline to transport Russian gas directly to Europe.",TAC2008~!~D0842-A-AFGH~!~1,-----------------,TAC2008,D0842-A-AFGH,sum-sum,reference_summary_sentence,reference_summary_sentence,summ-dev,TAC2008~!~D0842-A-AFGH~!~12~!~TAC2008~!~D0842-A-AFGH~!~21,"[{'sent1': [['TAC2008~!~D0842-A-AFGH~!~21~!~6~!~build~!~15786', ""Who will build something? - Germany 's BASF"", 'build']], 'sent2': [['TAC2008~!~D0842-A-AFGH~!~12~!~14~!~plan~!~12569', 'Who plans something? - the German company BASF', 'plan']]}, {'sent1': [['TAC2008~!~D0842-A-AFGH~!~21~!~6~!~build~!~7149', 'What will someone build? - it', 'build']], 'sent2': [['TAC2008~!~D0842-A-AFGH~!~12~!~14~!~plan~!~150', 'What is planned? - a Baltic Sea pipeline', 'plan']]}]"
ROG,32RIADZISS5KVK5RWJ1YLHJMQK54S5,DUC2006~!~D0628~!~117~!~SCU,DUC2006~!~D0628a~!~NYT19991231.0079~!~533,"In December , a landmark study by the national institutes on treatment of the disorder <strong>found</strong> that the drug Ritalin was more effective than behavioral - modification therapy , which is what is primarily <strong>used</strong> in Britain .",""" One of the key questions in the evaluation is <strong>has</strong> the child always <strong>had</strong> difficulty <strong>sitting</strong> still , <strong>sustaining</strong> attention to a task , or is this something new , "" <strong>said</strong> Gold , who <strong>added</strong> that often behavioral and other educational help is <strong>tried</strong> first before <strong>approaching</strong> medication .","In December, a landmark study by the national institutes on treatment of the disorder found that the drug Ritalin was more effective than behavioral-modification therapy, which is what is primarily used in Britain.",DUC2006~!~D0628a~!~NYT19991231.0079~!~532,In 1998 a panel of experts commissioned by the National Institutes of Health found that a consistent diagnostic method for the disorder had proved elusive.,DUC2006~!~D0628a~!~NYT20000321.0103~!~553,"""One of the key questions in the evaluation is has the child always had difficulty sitting still, sustaining attention to a task, or is this something new,"" said Gold, who added that often behavioral and other educational help is tried first before approaching medication.",DUC2006~!~D0628a~!~NYT20000321.0103~!~552,"Severe marital stress or financial stress in the household can affect the child, and other psychiatric problems can overlap or mimic ADHD, such as severe anxiety.",DUC2006,D0628a,doc-doc,source_document,source_document,doc-dev,DUC2006~!~D0628a~!~NYT19991231.0079~!~533~!~DUC2006~!~D0628a~!~NYT20000321.0103~!~553,"[{'sent1': [['DUC2006~!~D0628a~!~NYT19991231.0079~!~533~!~34~!~used~!~4452', 'What is used somewhere? - behavioral - modification therapy', 'used']], 'sent2': [['DUC2006~!~D0628a~!~NYT20000321.0103~!~553~!~45~!~tried~!~13861', 'What is being tried? - educational help', 'tried'], ['DUC2006~!~D0628a~!~NYT20000321.0103~!~553~!~45~!~tried~!~13862', 'What is being tried? - behavioral', 'tried']]}]"
WYG,3FDJT1UU74943KWJ5FB6ZNYQ9LDK5X,DUC2006~!~D0628~!~117~!~SCU,DUC2006~!~D0628a~!~NYT19991231.0079~!~533,"In December , a landmark study by the national institutes on treatment of the disorder <strong>found</strong> that the drug Ritalin was more effective than behavioral - modification therapy , which is what is primarily <strong>used</strong> in Britain .",""" One of the key questions in the evaluation is <strong>has</strong> the child always <strong>had</strong> difficulty <strong>sitting</strong> still , <strong>sustaining</strong> attention to a task , or is this something new , "" <strong>said</strong> Gold , who <strong>added</strong> that often behavioral and other educational help is <strong>tried</strong> first before <strong>approaching</strong> medication .","In December, a landmark study by the national institutes on treatment of the disorder found that the drug Ritalin was more effective than behavioral-modification therapy, which is what is primarily used in Britain.",DUC2006~!~D0628a~!~NYT19991231.0079~!~532,In 1998 a panel of experts commissioned by the National Institutes of Health found that a consistent diagnostic method for the disorder had proved elusive.,DUC2006~!~D0628a~!~NYT20000321.0103~!~553,"""One of the key questions in the evaluation is has the child always had difficulty sitting still, sustaining attention to a task, or is this something new,"" said Gold, who added that often behavioral and other educational help is tried first before approaching medication.",DUC2006~!~D0628a~!~NYT20000321.0103~!~552,"Severe marital stress or financial stress in the household can affect the child, and other psychiatric problems can overlap or mimic ADHD, such as severe anxiety.",DUC2006,D0628a,doc-doc,source_document,source_document,doc-dev,DUC2006~!~D0628a~!~NYT19991231.0079~!~533~!~DUC2006~!~D0628a~!~NYT20000321.0103~!~553,"[{'sent1': [['DUC2006~!~D0628a~!~NYT19991231.0079~!~533~!~34~!~used~!~4452', 'What is used somewhere? - behavioral - modification therapy', 'used']], 'sent2': [['DUC2006~!~D0628a~!~NYT20000321.0103~!~553~!~45~!~tried~!~13861', 'What is being tried? - educational help', 'tried'], ['DUC2006~!~D0628a~!~NYT20000321.0103~!~553~!~45~!~tried~!~13862', 'What is being tried? - behavioral', 'tried']]}]"
WYG,3G5F9DBFOPYUZOAQ5LQMQTCXUS5VH5,TAC2011~!~D1125-B-BCEG~!~5~!~SCU,TAC2011~!~D1125-B-BCEG~!~10,"A recent US Geological Survey report <strong>cited</strong> the UN 's prediction that sea ice off Alaska will probably <strong>shrink</strong> to nearly half the area it <strong>covered</strong> in 1980 , with profound effects on mammals dependent on sea ice .  ",Shrinkage of sea ice <strong>continues</strong> apace .,"A recent US Geological Survey report cited the UN's prediction that sea ice off Alaska will probably shrink to nearly half the area it covered in 1980, with profound effects on mammals dependent on sea ice.  ",TAC2011~!~D1125-B-BCEG~!~9,An Interior Department report edited out language in studies mentioning global warming as the cause of the polar bears' plight.,TAC2011~!~D1125-B-BCEG~!~17,Shrinkage of sea ice continues apace.,TAC2011~!~D1125-B-BCEG~!~16,Business groups fear listing would impose costs and delays by creating a requirement to limit greenhouse gases.,TAC2011,D1125-B-BCEG,sum-sum,reference_summary_sentence,reference_summary_sentence,summ-dev,TAC2011~!~D1125-B-BCEG~!~10~!~TAC2011~!~D1125-B-BCEG~!~17,{}
ROG,3P1L2B7AD1Q1V0KJVUJ6NTBWFH7LOS,TAC2011~!~D1125-B-BCEG~!~5~!~SCU,TAC2011~!~D1125-B-BCEG~!~10,"A recent US Geological Survey report <strong>cited</strong> the UN 's prediction that sea ice off Alaska will probably <strong>shrink</strong> to nearly half the area it <strong>covered</strong> in 1980 , with profound effects on mammals dependent on sea ice .  ",Shrinkage of sea ice <strong>continues</strong> apace .,"A recent US Geological Survey report cited the UN's prediction that sea ice off Alaska will probably shrink to nearly half the area it covered in 1980, with profound effects on mammals dependent on sea ice.  ",TAC2011~!~D1125-B-BCEG~!~9,An Interior Department report edited out language in studies mentioning global warming as the cause of the polar bears' plight.,TAC2011~!~D1125-B-BCEG~!~17,Shrinkage of sea ice continues apace.,TAC2011~!~D1125-B-BCEG~!~16,Business groups fear listing would impose costs and delays by creating a requirement to limit greenhouse gases.,TAC2011,D1125-B-BCEG,sum-sum,reference_summary_sentence,reference_summary_sentence,summ-dev,TAC2011~!~D1125-B-BCEG~!~10~!~TAC2011~!~D1125-B-BCEG~!~17,"[{'sent1': [['TAC2011~!~D1125-B-BCEG~!~10~!~18~!~shrink~!~2145', 'What might shrink? - sea ice off Alaska', 'shrink']], 'sent2': [['TAC2011~!~D1125-B-BCEG~!~17~!~4~!~continues~!~1562', 'What continues? - Shrinkage of sea ice', 'continues']]}]"
WYG,3UWN2HHPUY66HSFXEOGUKQPMH0RNS8,TAC2008~!~D0838-B-AEFG~!~29~!~SCU,TAC2008~!~D0838-B-AEFG~!~27,"Under a Pentagon directive, <strong>bans</strong> on cell phone use while <strong>driving</strong> are <strong>becoming</strong> common on military bases.",The Defense Department <strong>approved</strong> restrictions on cell phone use by motorists but <strong>left</strong> it for the military services and individual bases to <strong>decide</strong> how to <strong>enforce</strong> it .,"Under a Pentagon directive, bans on cell phone use while driving are becoming common on military bases.",TAC2008~!~D0838-B-AEFG~!~26,California prohibits phone use while driving by bus drivers but not others.,TAC2008~!~D0838-B-AEFG~!~22,The Defense Department approved restrictions on cell phone use by motorists but left it for the military services and individual bases to decide how to enforce it.,TAC2008~!~D0838-B-AEFG~!~21,"Nearly everyone supports the laws, nearly everyone ignores them.",TAC2008,D0838-B-AEFG,sum-sum,reference_summary_sentence,reference_summary_sentence,summ-dev,TAC2008~!~D0838-B-AEFG~!~22~!~TAC2008~!~D0838-B-AEFG~!~27,"[{'sent1': [['TAC2008~!~D0838-B-AEFG~!~27~!~5~!~bans~!~3855', 'Where is something being banned? - on military bases.', 'bans']], 'sent2': [['TAC2008~!~D0838-B-AEFG~!~22~!~25~!~enforce~!~14621', 'Who will enforce something? - individual bases', 'enforce']]}, {'sent1': [['TAC2008~!~D0838-B-AEFG~!~27~!~5~!~bans~!~3853', 'What was banned? - cell phone use while driving', 'bans']], 'sent2': [['TAC2008~!~D0838-B-AEFG~!~22~!~25~!~enforce~!~4535', 'What will be enforced? - restrictions on cell phone use by motorists', 'enforce']]}]"
ROG,3VHHR074H3IUAUSKE824C7P1Q1G7LQ,TAC2008~!~D0838-B-AEFG~!~29~!~SCU,TAC2008~!~D0838-B-AEFG~!~27,"Under a Pentagon directive, <strong>bans</strong> on cell phone use while <strong>driving</strong> are <strong>becoming</strong> common on military bases.",The Defense Department <strong>approved</strong> restrictions on cell phone use by motorists but <strong>left</strong> it for the military services and individual bases to <strong>decide</strong> how to <strong>enforce</strong> it .,"Under a Pentagon directive, bans on cell phone use while driving are becoming common on military bases.",TAC2008~!~D0838-B-AEFG~!~26,California prohibits phone use while driving by bus drivers but not others.,TAC2008~!~D0838-B-AEFG~!~22,The Defense Department approved restrictions on cell phone use by motorists but left it for the military services and individual bases to decide how to enforce it.,TAC2008~!~D0838-B-AEFG~!~21,"Nearly everyone supports the laws, nearly everyone ignores them.",TAC2008,D0838-B-AEFG,sum-sum,reference_summary_sentence,reference_summary_sentence,summ-dev,TAC2008~!~D0838-B-AEFG~!~22~!~TAC2008~!~D0838-B-AEFG~!~27,"[{'sent1': [['TAC2008~!~D0838-B-AEFG~!~27~!~13~!~becoming~!~3895', 'What is becoming something? - bans on cell phone use while driving', 'becoming']], 'sent2': [['TAC2008~!~D0838-B-AEFG~!~22~!~3~!~approved~!~4360', 'What did someone approve? - restrictions on cell phone use by motorists', 'approved']]}]"
ROG,33IZTU6J812BTMT1GU33ISGKKO9XSV,TAC2011~!~D1107-A-BCEF~!~24~!~SCU,TAC2011~!~D1107-A-BCEF~!~23,"A Chinese lawmaker has <strong>appealed</strong> to <strong>set</strong> up a trans - ministry agency to <strong>carry</strong> out the responsibilities which are <strong>undertaken</strong> by several government departments , for food safety .","China has 9 ministries that independently <strong>implement</strong> food safety rules that are at times <strong>overlapping</strong> , <strong>confusing</strong> , and contradictory .  ","A Chinese lawmaker has appealed to set up a trans-ministry agency to carry out the responsibilities which are undertaken by several government departments, for food safety.",TAC2011~!~D1107-A-BCEF~!~22,"China has 9 ministries that independently implement food safety rules that are at times overlapping, confusing, and contradictory.  ",TAC2011~!~D1107-A-BCEF~!~22,"China has 9 ministries that independently implement food safety rules that are at times overlapping, confusing, and contradictory.  ",TAC2011~!~D1107-A-BCEF~!~21,During one week in 2006 China had four mass food poisoning incidents.,TAC2011,D1107-A-BCEF,sum-sum,reference_summary_sentence,reference_summary_sentence,summ-dev,TAC2011~!~D1107-A-BCEF~!~22~!~TAC2011~!~D1107-A-BCEF~!~23,"[{'sent1': [['TAC2011~!~D1107-A-BCEF~!~23~!~20~!~undertaken~!~1734', 'Who is something undertaken by? - several government departments', 'undertaken']], 'sent2': [['TAC2011~!~D1107-A-BCEF~!~22~!~6~!~implement~!~2459', 'Who implements something? - 9 ministries', 'implement']]}]"
WYG,3WJEQKOXA83Z3PMES1W52JIDST81AB,TAC2011~!~D1107-A-BCEF~!~24~!~SCU,TAC2011~!~D1107-A-BCEF~!~23,"A Chinese lawmaker has <strong>appealed</strong> to <strong>set</strong> up a trans - ministry agency to <strong>carry</strong> out the responsibilities which are <strong>undertaken</strong> by several government departments , for food safety .","China has 9 ministries that independently <strong>implement</strong> food safety rules that are at times <strong>overlapping</strong> , <strong>confusing</strong> , and contradictory .  ","A Chinese lawmaker has appealed to set up a trans-ministry agency to carry out the responsibilities which are undertaken by several government departments, for food safety.",TAC2011~!~D1107-A-BCEF~!~22,"China has 9 ministries that independently implement food safety rules that are at times overlapping, confusing, and contradictory.  ",TAC2011~!~D1107-A-BCEF~!~22,"China has 9 ministries that independently implement food safety rules that are at times overlapping, confusing, and contradictory.  ",TAC2011~!~D1107-A-BCEF~!~21,During one week in 2006 China had four mass food poisoning incidents.,TAC2011,D1107-A-BCEF,sum-sum,reference_summary_sentence,reference_summary_sentence,summ-dev,TAC2011~!~D1107-A-BCEF~!~22~!~TAC2011~!~D1107-A-BCEF~!~23,"[{'sent1': [['TAC2011~!~D1107-A-BCEF~!~23~!~6~!~set~!~2988', 'What did someone set up? - a trans - ministry agency', 'set']], 'sent2': [['TAC2011~!~D1107-A-BCEF~!~22~!~6~!~implement~!~2461', 'What does someone implement? - food safety rules', 'implement']]}]"
