abs_scu_id,scu_label,abs_sent_id,text,text_spans,year,filepath,multi_sent,topic,w_overlap
2008~!~D0815-B-ABCD~!~1~!~SCU,Senate debated the issue of filibustering judicial nominations,2008~!~D0815-B-ABCD~!~33~!~0,"As the Senate debated the issue of filibustering judicial nominations, a bipartisan group of centrist senators kept working on possible compromise solutions.",the Senate debated the issue of filibustering judicial nominations,2008,../data/DUC/TAC2008/UpdateSumm08_eval/manual/pyramids/D0815-B-ABCD.pyr,False,D0815-B-ABCD,6
2008~!~D0815-B-ABCD~!~1~!~SCU,Senate debated the issue of filibustering judicial nominations,2008~!~D0815-B-ABCD~!~33~!~1,Debates continue in an effort to reach a compromise on Senate procedures for judicial nominees.,Debates continue in an effort to reach a compromise on Senate procedures for judicial nominees,2008,../data/DUC/TAC2008/UpdateSumm08_eval/manual/pyramids/D0815-B-ABCD.pyr,False,D0815-B-ABCD,3
2010~!~D1007-B-ABEH~!~26~!~SCU,Macao officials reported no cases,2010~!~D1007-B-ABEH~!~59~!~0,Neighboring Macao officials were concerned but reported no cases.,Macao officials were concerned but reported no cases,2010,../data/DUC/TAC2010/GuidedSumm2010_eval/manual/pyramids/D1007-B-ABEH.pyr,False,D1007-B-ABEH,4
2010~!~D1007-B-ABEH~!~26~!~SCU,Macao officials reported no cases,2010~!~D1007-B-ABEH~!~59~!~1,"Nevertheless, Macao is prepared for a possible outbreak.  ","Nevertheless, Macao is prepared for a possible outbreak",2010,../data/DUC/TAC2010/GuidedSumm2010_eval/manual/pyramids/D1007-B-ABEH.pyr,False,D1007-B-ABEH,1
2010~!~D1007-B-ABEH~!~15~!~SCU,Central Chinese government temporarily suspended chicken exports,2010~!~D1007-B-ABEH~!~71~!~0,The Central Chinese government temporarily suspended chicken exports.,Central Chinese government temporarily suspended chicken exports,2010,../data/DUC/TAC2010/GuidedSumm2010_eval/manual/pyramids/D1007-B-ABEH.pyr,False,D1007-B-ABEH,7
2010~!~D1007-B-ABEH~!~15~!~SCU,Central Chinese government temporarily suspended chicken exports,2010~!~D1007-B-ABEH~!~71~!~1,Chicken exports from the mainland are suspended until better health tests are established.,Chicken exports from the mainland are suspended until better health tests are established,2010,../data/DUC/TAC2010/GuidedSumm2010_eval/manual/pyramids/D1007-B-ABEH.pyr,False,D1007-B-ABEH,3
2010~!~D1007-B-ABEH~!~16~!~SCU,main mode of H5N1 virus transmission was bird-to-human,2010~!~D1007-B-ABEH~!~72~!~0,"A joint Hong Kong, U.S., WHO examination of the problem confirmed that the main mode of H5N1 virus transmission was bird-to-human.",main mode of H5N1 virus transmission was bird-to-human,2010,../data/DUC/TAC2010/GuidedSumm2010_eval/manual/pyramids/D1007-B-ABEH.pyr,False,D1007-B-ABEH,7
2010~!~D1007-B-ABEH~!~16~!~SCU,main mode of H5N1 virus transmission was bird-to-human,2010~!~D1007-B-ABEH~!~74~!~1,Preliminary tests indicate that the virus is transmitted from bird to human.,Preliminary tests indicate that the virus is transmitted from bird to human,2010,../data/DUC/TAC2010/GuidedSumm2010_eval/manual/pyramids/D1007-B-ABEH.pyr,False,D1007-B-ABEH,3
2010~!~D1007-B-ABEH~!~18~!~SCU,Testing for bird flu virus in poultry,2010~!~D1007-B-ABEH~!~64~!~0,"Authorities in Hong Kong, Macao, and mainland China increased surveillance and testing in the poultry industry to determine presence of the bird flu virus.",testing in the poultry industry to determine presence of the bird flu virus,2010,../data/DUC/TAC2010/GuidedSumm2010_eval/manual/pyramids/D1007-B-ABEH.pyr,False,D1007-B-ABEH,5
2010~!~D1007-B-ABEH~!~18~!~SCU,Testing for bird flu virus in poultry,2010~!~D1007-B-ABEH~!~65~!~0,"H5N1 found at a local chicken farm and sudden chicken deaths in a market led to the mass slaughter of all chickens in Hong Kong, followed by a thorough cleansing exercise at meat stalls, health checks for poultry workers, and augmentation of out-patient services.",H5N1 found at a local chicken farm,2010,../data/DUC/TAC2010/GuidedSumm2010_eval/manual/pyramids/D1007-B-ABEH.pyr,False,D1007-B-ABEH,1
2010~!~D1014-B-CEGH~!~24~!~SCU,Obesity is increasing throughout the world,2010~!~D1014-B-CEGH~!~180~!~0,Obesity is increasing throughout the world because of Western-style diets and less physical activity.,Obesity is increasing throughout the world,2010,../data/DUC/TAC2010/GuidedSumm2010_eval/manual/pyramids/D1014-B-CEGH.pyr,False,D1014-B-CEGH,3
2010~!~D1014-B-CEGH~!~24~!~SCU,Obesity is increasing throughout the world,2010~!~D1014-B-CEGH~!~180~!~1,In 1997 about 33% of the U.S. population is overweight compared to 25% in the 1960's.,In 1997 about 33% of the U.S. population is overweight compared to 25% in the 1960's,2010,../data/DUC/TAC2010/GuidedSumm2010_eval/manual/pyramids/D1014-B-CEGH.pyr,False,D1014-B-CEGH,0
2010~!~D1014-B-CEGH~!~29~!~SCU,Obesity prevents Japanese police from doing their job,2010~!~D1014-B-CEGH~!~184~!~0,"Obesity can cause skeletal problems and some forms of cancer, and prevents Japanese police from doing their job.",prevents Japanese police from doing their job,2010,../data/DUC/TAC2010/GuidedSumm2010_eval/manual/pyramids/D1014-B-CEGH.pyr,False,D1014-B-CEGH,5
2010~!~D1014-B-CEGH~!~29~!~SCU,Obesity prevents Japanese police from doing their job,2010~!~D1014-B-CEGH~!~186~!~1,Even some Japanese police officers are too heavy.,some Japanese police officers are too heavy,2010,../data/DUC/TAC2010/GuidedSumm2010_eval/manual/pyramids/D1014-B-CEGH.pyr,False,D1014-B-CEGH,2
2010~!~D1014-B-CEGH~!~2~!~SCU,About 33% of the U.S. population is overweight,2010~!~D1014-B-CEGH~!~180~!~1,In 1997 about 33% of the U.S. population is overweight compared to 25% in the 1960's.,In 1997 about 33% of the U.S. population is overweight compared,2010,../data/DUC/TAC2010/GuidedSumm2010_eval/manual/pyramids/D1014-B-CEGH.pyr,False,D1014-B-CEGH,3
2010~!~D1014-B-CEGH~!~2~!~SCU,About 33% of the U.S. population is overweight,2010~!~D1014-B-CEGH~!~189~!~1,"About 33-50% of the U.S. population is overweight and obesity is the second-leading cause of preventable death, causing an increase in diseases that were heretofore on the decline.",About 33-50% of the U.S. population is overweight,2010,../data/DUC/TAC2010/GuidedSumm2010_eval/manual/pyramids/D1014-B-CEGH.pyr,False,D1014-B-CEGH,3
2010~!~D1014-B-CEGH~!~4~!~SCU,Obesity  is a serious public health problem,2010~!~D1014-B-CEGH~!~185~!~0,"Obesity contributes to over 300,000 excess deaths each year and is, after smoking, the second leading cause of preventable deaths in the U.S.  To fight obesity it must be recognized as the serious public health problem that it is.",obesity it must be recognized as the serious public health problem,2010,../data/DUC/TAC2010/GuidedSumm2010_eval/manual/pyramids/D1014-B-CEGH.pyr,False,D1014-B-CEGH,4
2010~!~D1014-B-CEGH~!~4~!~SCU,Obesity  is a serious public health problem,2010~!~D1014-B-CEGH~!~191~!~1,Obesity is a serious health problem in the U.S. where one-fourth of the population is obese.,Obesity is a serious health problem in the U.S,2010,../data/DUC/TAC2010/GuidedSumm2010_eval/manual/pyramids/D1014-B-CEGH.pyr,False,D1014-B-CEGH,3
2010~!~D1014-B-CEGH~!~4~!~SCU,Obesity  is a serious public health problem,2010~!~D1014-B-CEGH~!~191~!~2,Obesity is a chronic disease and likely to become the preeminent public health problem.,Obesity is a chronic disease and likely to become the preeminent public health problem,2010,../data/DUC/TAC2010/GuidedSumm2010_eval/manual/pyramids/D1014-B-CEGH.pyr,False,D1014-B-CEGH,4
2010~!~D1014-B-CEGH~!~13~!~SCU,Obesity is a chronic disease,2010~!~D1014-B-CEGH~!~183~!~0,Obesity is a chronic disease requiring regular medical treatment and a commitment by patients to control their weight.,Obesity is a chronic disease requiring regular medical treatment,2010,../data/DUC/TAC2010/GuidedSumm2010_eval/manual/pyramids/D1014-B-CEGH.pyr,False,D1014-B-CEGH,3
2010~!~D1014-B-CEGH~!~13~!~SCU,Obesity is a chronic disease,2010~!~D1014-B-CEGH~!~191~!~2,Obesity is a chronic disease and likely to become the preeminent public health problem.,Obesity is a chronic disease,2010,../data/DUC/TAC2010/GuidedSumm2010_eval/manual/pyramids/D1014-B-CEGH.pyr,False,D1014-B-CEGH,3
2009~!~D0914-A-CDEF~!~83~!~SCU,Explosions rocked three Egyptian resorts,2009~!~D0914-A-CDEF~!~213~!~1,"In the night of October 7, 2004, suspected terrorist car bombs ripped through three Egyptian Red Sea resorts popular with vacationing Israelis.",suspected terrorist car bombs ripped through three Egyptian Red Sea resorts,2009,../data/DUC/TAC2009/UpdateSumm09_eval/manual/pyramids/D0914-A-CDEF.pyr,False,D0914-A-CDEF,2
